61,11,60,3,330,14.285714,38.888889,14.761904,14.761904,14.761904,662,47.5,47.5,25,47.5,29.62963,44.444444,29.032258,29.032258,50,25.714286,11.111111,16.666667,50,20,16.666667,0,50,25,25,8.62069,0,0,30,25,14.20765,30.3125,21.311475,16.666667,24.275362,26.760563
48,64,33,4,734.258789,14.285714,50,19.761904,19.761904,19.761904,740,55,50,33.333333,55,39.814815,33.333333,45.16129,45.16129,36.666667,20,16.666667,16.666667,66.666667,20,16.666667,0,50,25,25,13.793103,6.666667,8.333333,35,10,20.218579,30.9375,17.213115,16.666667,25.724638,30.985915
20,47,48,4,435.671906,14.285714,50,19.761904,19.761904,19.761904,687,55,47.5,33.333333,55,37.037037,22.222222,41.935484,41.935484,33.333333,18.571429,11.111111,16.666667,66.666667,20,16.666667,0,50,25,25,15.517241,3.333333,8.333333,35,20,20.218579,29.21875,18.852459,16.666667,19.927536,26.29108
79,79,79,1,2702.432373,14.285714,38.888889,11.428572,11.428572,11.428572,468,37.5,37.5,25,37.5,17.592593,26.666667,19.354839,19.354839,16.666667,11.428571,11.111111,16.666667,50,26.666667,16.666667,0,55.555556,33.333333,25,12.068966,6.666667,0,25,25,10.382514,19.0625,13.114754,25,17.028986,17.370892
41,9,40,3,180,14.285714,38.888889,14.761904,14.761904,14.761904,659,47.5,47.5,25,47.5,29.62963,46.666667,29.032258,29.032258,43.333333,25.714286,11.111111,16.666667,50,20,16.666667,0,50,25,25,8.62069,0,0,30,25,14.20765,30,21.311475,16.666667,24.275362,26.760563
62,97,62,4,1815.136353,14.285714,50,19.761904,19.761904,19.761904,720,55,52.5,33.333333,55,38.888889,33.333333,41.935484,43.548387,36.666667,21.428571,11.111111,16.666667,66.666667,20,16.666667,0,50,25,25,13.793103,0,8.333333,35,30,20.218579,30.78125,17.213115,16.666667,20.652174,30.046948
84,40,62,5,1172.685425,14.285714,50,19.761904,19.761904,19.761904,767,55,50,33.333333,55,40.740741,33.333333,41.935484,41.935484,43.333333,20,11.111111,16.666667,66.666667,20,16.666667,0,50,25,25,20.689655,6.666667,16.666667,35,25,20.218579,34.6875,17.213115,16.666667,25.724638,30.985915
92,5,5,-1,0,14.285714,16.666667,11.428572,11.428572,11.428572,148,30,20,8.333333,30,0,0,0,0,3.333333,8.571429,11.111111,16.666667,16.666667,13.333333,22.222222,33.333333,22.222222,16.666667,0,8.62069,10,8.333333,5,5,2.73224,4.53125,3.278689,16.666667,4.347826,4.225352
63,59,82,4,1849.616211,14.285714,50,19.761904,19.761904,19.761904,737,55,50,33.333333,55,40.740741,37.777778,45.16129,45.16129,40,21.428571,11.111111,16.666667,66.666667,20,16.666667,0,50,25,25,13.793103,0,8.333333,35,25,20.218579,29.84375,17.213115,16.666667,25.362319,30.985915
4,4,4,1,6.928203,14.285714,38.888889,11.428572,11.428572,11.428572,469,37.5,37.5,25,37.5,17.592593,26.666667,19.354839,19.354839,16.666667,11.428571,16.666667,16.666667,50,26.666667,16.666667,0,55.555556,33.333333,25,12.068966,16.666667,0,25,25,10.382514,19.53125,13.114754,25,14.855072,17.370892
50,30,40,3,600,14.285714,38.888889,14.761904,14.761904,14.761904,659,47.5,47.5,25,47.5,29.62963,40,29.032258,29.032258,46.666667,24.285714,16.666667,16.666667,50,20,16.666667,0,50,25,25,8.62069,3.333333,0,30,25,14.20765,29.6875,21.311475,16.666667,25.724638,26.29108
80,40,61,5,1142.365967,14.285714,50,19.761904,19.761904,19.761904,769,55,50,33.333333,55,40.740741,33.333333,41.935484,41.935484,43.333333,21.428571,11.111111,16.666667,66.666667,20,16.666667,0,50,25,25,22.413793,3.333333,16.666667,35,25,20.218579,34.84375,17.213115,16.666667,25.724638,30.985915
